Algorithm,Sort Order,Array Type,min,First Quartile,median,Third Quartile,max
PassPerItem,ASCENDING,Byte[],129864789,129885667,129922813,130040706,134233089
PassPerItem,ASCENDING,Double[],185963632,187227885,187715772,194145504,248614345
PassPerItem,ASCENDING,Integer[],155418342,155907512,156486684,157774879,182147838
PassPerItem,DESCENDING,Byte[],420118775,421540291,422074420,422695954,428021554
PassPerItem,DESCENDING,Double[],389694447,392478495,402614758,432209280,549409042
PassPerItem,DESCENDING,Integer[],417187543,419656777,420704380,422030766,427831317
PassPerItem,RANDOM,Byte[],396497278,397991892,398874616,399579084,404780067
PassPerItem,RANDOM,Double[],455887598,479640173,486199818,498427590,636812739
PassPerItem,RANDOM,Integer[],458913328,460728665,461929332,463199581,467746566
UntilNoChange,ASCENDING,Byte[],14732,14864,14990,15299,24701
UntilNoChange,ASCENDING,Double[],22031,22336,22684,23328,29639
UntilNoChange,ASCENDING,Integer[],17489,17715,17880,18424,25677
UntilNoChange,DESCENDING,Byte[],512228499,513512365,513904128,514354962,519058336
UntilNoChange,DESCENDING,Double[],396969203,399409772,406814191,440955513,544280183
UntilNoChange,DESCENDING,Integer[],486076591,486983474,487260722,487687880,495260468
UntilNoChange,RANDOM,Byte[],511051947,517371420,520198770,523310650,527989610
UntilNoChange,RANDOM,Double[],463522883,480808575,486958589,500783969,607093814
UntilNoChange,RANDOM,Integer[],514339325,518732150,520748538,522508055,529460244
WhileNeeded,ASCENDING,Byte[],11604,11926,12169,12402,43995
WhileNeeded,ASCENDING,Double[],19243,19785,20193,20884,52445
WhileNeeded,ASCENDING,Integer[],15914,16337,16498,16832,39603
WhileNeeded,DESCENDING,Byte[],322140371,322290196,322387948,322525954,328198405
WhileNeeded,DESCENDING,Double[],264201806,273713016,278017532,297742404,411710897
WhileNeeded,DESCENDING,Integer[],321917808,321990781,322074950,322189285,327989948
WhileNeeded,RANDOM,Byte[],331175941,332992781,334329398,336157697,340554243
WhileNeeded,RANDOM,Double[],350295275,361382723,365444480,381289940,478227566
WhileNeeded,RANDOM,Integer[],352372164,354767058,355297081,356178643,361805482
