index,Algorithm,Sort Order,std
0,PassPerItem,ASCENDING,28123098.91
1,PassPerItem,DESCENDING,21249042.58
2,PassPerItem,RANDOM,44623780.33
3,UntilNoChange,ASCENDING,3400.63
4,UntilNoChange,DESCENDING,42822120.9
5,UntilNoChange,RANDOM,20795347.0
6,WhileNeeded,ASCENDING,4546.86
7,WhileNeeded,DESCENDING,23232349.28
8,WhileNeeded,RANDOM,22681479.61
